Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
75,6,11,1,15,23.362999999999982,11,99,21,22,17,16,25.25399999999998,0.061,1.2809999999999993,12.13899999999999,20,1,5,16,110,1,5,55,6,1,72,6,1,L,0.22958181818181816,0.061,0.2562,0.22070909090909088
75,6,12,1,14,12.38299999999999,20,59,95,91,114,38,13.05399999999999,0.9149999999999996,17.811999999999987,6.8319999999999945,20,4,17,13,62,4,90,27,3,0,13,3.25,1,L,0.21054838709677418,0.22875,0.1979111111111111,0.253037037037037
75,7,13,1,7,11.528999999999991,17,54,1,8,64,6,11.589999999999991,0.061,5.550999999999996,0.9759999999999995,18,1,14,5,55,1,34,5,6,0.5,40,5.5,1,L,0.2107272727272727,0.061,0.16326470588235292,0.19519999999999998
75,7,14,1,15,23.72899999999998,20,121,20,19,22,46,24.52199999999998,7.685999999999994,4.940999999999996,1.0369999999999995,20,14,15,3,126,28,27,3,6,0.5,41,5.75,1,L,0.1946190476190476,0.27449999999999997,0.183,0.3456666666666667
75,8,15,1,13,13.05399999999999,19,61,18,33,60,31,98.08800000000237,0.122,0.061,0.122,20,2,1,1,409,2,1,1,2,0,20,5,1,L,0.23982396088019559,0.061,0.061,0.122
75,8,16,1,12,37.81999999999997,16,177,47,37,46,42,41.41899999999997,0.6709999999999998,4.452999999999997,0.427,20,3,11,2,191,3,14,3,5,1,60,5,1,L,0.21685340314136123,0.22366666666666665,0.31807142857142856,0.14233333333333334
75,9,17,1,15,18.299999999999986,19,101,13,16,24,56,23.118999999999982,0.305,0.427,4.513999999999997,20,2,2,12,131,2,2,27,6,0.5,40,5.5,1,L,0.17648091603053434,0.1525,0.2135,0.1671851851851852
75,9,18,1,12,15.798999999999987,20,85,43,69,40,44,16.04299999999999,9.820999999999993,2.0129999999999986,4.452999999999997,20,18,10,15,87,38,14,24,5,0.5,34,4.75,1,L,0.18440229885057471,0.2584473684210526,0.1437857142857143,0.18554166666666666
75,10,19,1,13,18.604999999999986,19,91,110,112,62,114,20.129999999999985,2.622999999999998,1.0369999999999995,0.305,20,11,4,2,99,12,4,2,2,0.5,16,2.5,1,L,0.2033333333333333,0.21858333333333332,0.2592499999999999,0.1525
75,10,20,1,12,20.129999999999985,20,89,48,45,41,46,24.03399999999998,0.061,0.183,2.561999999999998,20,1,1,11,108,1,1,12,5,1,60,5,1,L,0.22253703703703703,0.061,0.183,0.21349999999999997
75,11,21,1,14,59.10899999999995,16,268,89,88,67,66,60.32899999999995,0.366,1.0979999999999994,4.391999999999997,20,2,4,11,273,2,5,15,3,0,14,3.5,1,L,0.22098534798534797,0.183,0.2196,0.29279999999999995
