Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,success_schema,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
26,5,9,0,5,31.231999999999974,17,147,41,45,42,71,31.597999999999974,0.122,2.1349999999999985,1.463999999999999,18,2,8,5,148,2,8,6,5,0.5,34,4.75,5,6,L,0.2135,0.061,0.266875,0.244
26,5,10,0,7,23.301999999999982,20,118,13,24,112,25,23.362999999999982,4.940999999999996,5.489999999999996,11.77299999999999,20,14,12,14,119,22,25,36,6,0,19,4.75,5,6,L,0.19632773109243695,0.22459090909090906,0.2196,0.32702777777777775
27,1,1,0,9,40.62599999999997,14,164,62,70,61,63,42.08999999999997,4.025999999999997,5.001999999999996,0.244,17,12,13,2,168,20,23,2,4,1,48,4,9,5,L,0.25053571428571425,0.20129999999999998,0.2174782608695652,0.122
27,1,2,0,2,36.35599999999997,13,152,45,55,56,74,39.40599999999997,0.183,0.366,12.44399999999999,20,1,3,16,168,1,3,50,4,0,16,4,9,5,L,0.23455952380952377,0.183,0.122,0.24888
27,2,3,0,10,82.53300000000209,15,366,46,58,87,90,86.43700000000209,1.3419999999999992,0.061,0.061,20,4,1,1,385,4,1,1,3,0,15,3.75,9,5,L,0.2245116883116883,0.3355,0.061,0.061
27,2,4,0,9,5.550999999999996,14,29,67,35,82,18,8.905999999999993,16.469999999999988,6.8319999999999945,1.585999999999999,20,18,16,6,43,59,33,7,4,0,18,4.5,0,5,L,0.22489898989898988,0.2856349206349206,0.19299999999999998,0.22657142857142853
27,3,5,0,5,92.1710000000032,13,354,48,67,12,92,93.33000000000321,1.4029999999999991,1.2809999999999993,1.4029999999999991,18,6,3,7,359,8,4,8,5,0,18,4.5,0,5,L,0.25997214484679665,0.175375,0.3202499999999999,0.175375
27,3,6,0,1,24.33899999999998,15,111,75,79,80,32,25.43699999999998,0.488,0.9759999999999995,8.356999999999994,19,3,4,13,115,3,4,32,3,0.5,23,3.5,1,5,L,0.22119130434782605,0.16266666666666665,0.244,0.26115625
27,4,7,0,0,0,0,0,15,108,99,106,0.5489999999999999,2.1959999999999984,1.2199999999999993,0.427,2,8,5,4,2,14,5,4,0,0.5,18,3,1,5,L,0.2067222222222222,0.15685714285714286,0.244,0.10675
27,4,8,0,5,19.153999999999986,17,97,38,40,42,95,29.88999999999998,0.6099999999999999,0.488,3.2939999999999974,20,5,4,10,146,5,4,14,5,0.5,33,4.5,"5,1",5,L,0.20472602739726026,0.122,0.122,0.2352857142857143
