,ID,round,phase,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,dwmean_1,dwmean_2,dwmean_3,dwmean_4,schemas_1,schemas_2,schemas_3,schemas_4,RT_1,RT_2,RT_3,RT_4,payoff,accuracy,performance,novelty,breakR,afterbreak,type
793,37,4,8,20,3,3,2,162,2,2,1,0.234055215,0.701666667,0.573333333,0.852,4,4,4,4,38.151,2.105,1.72,1.704,4,1,48,0,-1,0,LH
794,37,5,9,20,5,3,2,82,4,4,1,0.469108434,0.3832,0.3058,0.7595,5,5,5,5,38.936,1.916,1.529,1.519,5,1,60,0,-1,0,LH
795,37,5,10,20,4,2,9,80,4,1,13,0.308061728,0.496,0.9375,0.265571429,6,6,6,6,24.953,2.48,1.875,3.718,6,1,72,0,-1,0,LH
796,37,6,11,20,2,11,12,63,1,15,14,0.417640625,0.8955,0.3245625,0.374866667,6,6,6,6,26.729,1.791,5.193,5.623,6,1,72,0,-1,1,LH
797,37,6,12,20,1,4,3,199,0,4,2,0.285695,1.755,0.6374,0.584333333,3,3,3,3,57.139,1.755,3.187,1.753,3,1,36,0,-1,1,LH
798,37,7,13,20,12,15,20,82,24,25,87,0.237951807,0.33672,0.272423077,0.306431818,6,6,6,6,19.75,8.418,7.083,26.966,6,1,72,0,-1,1,LH
799,37,7,14,20,4,8,14,177,5,9,29,0.407207865,0.3555,0.308,0.289266667,5,5,5,5,72.483,2.133,3.08,8.678,5,1,60,0,-1,1,LH
800,37,8,15,20,3,2,2,138,4,1,1,0.241172662,0.3618,0.787,0.3845,3,3,3,3,33.523,1.809,1.574,0.769,3,1,36,0,-1,1,LH
801,37,8,16,20,2,1,1,218,2,0,0,0.3043379,0.972666667,1.275,1.061,2,2,2,2,66.65,2.918,1.275,1.061,2,1,24,0,-1,1,LH
802,37,9,17,20,2,3,10,50,1,2,16,0.294156863,1.047,0.622666667,0.255764706,6,6,6,6,15.002,2.094,1.868,4.348,6,0.75,72,0,-1,1,LH
803,37,9,18,20,2,2,8,91,1,1,14,0.368913043,0.821,0.8595,0.417466667,6,6,6,5,33.94,1.642,1.719,6.262,5.75,0.75,41,0,-1,1,LH
804,37,10,19,20,11,1,20,52,17,0,59,0.330603774,0.265277778,1.264,0.272566667,6,6,6,6,17.522,4.775,1.264,16.354,6,1,72,0,-1,1,LH
805,37,10,20,20,4,7,20,95,7,14,80,0.390666667,0.245,0.68,0.377617284,6,6,6,6,37.504,1.96,10.2,30.587,6,1,72,0,-1,1,LH
806,37,11,21,20,13,6,10,62,20,8,13,0.282539683,0.316904762,0.346555556,0.218571429,6,6,6,6,17.8,6.655,3.119,3.06,6,1,72,0,-1,1,LH
807,37,11,22,20,7,4,16,239,11,4,45,0.336841667,0.393083333,0.5742,0.309391304,5,5,5,5,80.842,4.717,2.871,14.232,5,1,60,0,-1,1,LH
808,37,12,23,20,2,7,17,128,2,13,118,0.344914729,0.633666667,0.288642857,0.28007563,6,6,6,6,44.494,1.901,4.041,33.329,6,1,72,0,-1,1,LH
809,37,12,24,18,2,3,10,42,1,3,12,0.257813953,1.018,0.548,0.195923077,6,6,6,6,11.086,2.036,2.192,2.547,6,1,72,0,-1,1,LH
810,37,13,25,18,6,18,18,36,10,41,54,0.432081081,0.343727273,0.411547619,0.258363636,5,5,6,5,15.987,3.781,17.285,14.21,5.25,0.75,36,0,-1,1,LH
811,37,13,26,15,3,4,4,38,7,3,6,0.256102564,0.160625,0.631,0.135142857,6,6,6,6,9.988,1.285,2.524,0.946,6,0.75,72,0,-1,1,LH
812,37,14,27,19,3,5,5,75,5,4,4,0.161302632,0.276833333,0.3198,0.288,6,6,6,6,12.259,1.661,1.599,1.44,6,1,72,0,-1,1,LH
813,38,1,1,19,1,6,2,133,0,11,1,0.32180597,0.82,0.093333333,0.425,2,2,2,2,43.122,0.82,1.12,0.85,2,1,24,0,-1,0,LH
814,38,1,2,20,13,13,4,305,18,19,3,0.506320261,0.246,0.3215,0.215,2,2,2,2,154.934,4.674,6.43,0.86,2,1,24,0,-1,0,LH
815,38,2,3,18,3,4,3,42,2,4,2,0.278186047,0.231333333,0.1594,0.224333333,2,2,2,2,11.962,0.694,0.797,0.673,2,0.75,24,0,-1,0,LH
816,38,2,4,19,3,6,5,115,2,6,4,0.289017241,0.208666667,0.134714286,0.2022,2,5,2,2,33.526,0.626,0.943,1.011,2.75,0.75,17,0,-1,0,LH
817,38,3,5,20,1,3,3,74,0,2,2,0.291053333,0.426,0.145,0.255,3,3,4,4,21.829,0.426,0.435,0.765,3.5,0.5,14,0,-1,0,LH
818,38,3,6,17,5,6,5,23,7,8,5,0.32625,0.12925,0.137555556,0.140166667,2,2,2,2,7.83,1.034,1.238,0.841,2,0.5,24,0,-1,0,LH
819,38,4,7,20,2,7,16,133,3,6,49,0.321059701,0.34425,0.367714286,0.2257,2,2,2,2,43.022,1.377,2.574,11.285,2,1,24,0,-1,0,LH
820,38,4,8,15,6,3,1,29,6,3,0,0.290166667,0.084285714,0.15675,0.765,2,2,2,2,8.705,0.59,0.627,0.765,2,1,24,0,-1,0,LH
821,38,5,9,20,3,3,2,172,2,3,1,0.28717341,0.240333333,0.13175,0.325,2,2,2,2,49.681,0.721,0.527,0.65,2,1,24,0,-1,0,LH
822,38,5,10,13,1,2,9,32,0,1,13,0.212151515,0.733,0.3625,0.21,2,2,2,2,7.001,0.733,0.725,2.94,2,1,24,0,-1,0,LH
823,38,6,11,14,2,3,4,22,1,2,3,0.414086957,0.1715,0.163,0.21125,2,2,2,2,9.524,0.343,0.489,0.845,2,1,24,0,-1,1,LH
824,38,6,12,11,9,9,8,19,12,8,8,0.3174,0.165923077,0.294777778,0.387555556,2,2,2,2,6.348,2.157,2.653,3.488,2,1,24,0,-1,1,LH
825,38,7,13,14,2,4,5,21,1,3,4,0.2615,0.368,0.163,0.2234,2,2,2,2,5.753,0.736,0.652,1.117,2,1,24,0,-1,1,LH
826,38,7,14,20,5,8,17,132,5,7,33,0.287323308,0.1855,0.2695,0.301882353,2,2,2,2,38.214,1.113,2.156,10.264,2,1,24,0,-1,1,LH
827,38,8,15,16,1,3,3,22,0,2,2,0.362347826,0.545,0.216,0.243666667,2,2,2,2,8.334,0.545,0.648,0.731,2,1,24,0,-1,1,LH
828,38,8,16,20,3,3,1,54,2,2,0,0.417709091,0.237333333,0.229666667,0.434,2,2,2,2,22.974,0.712,0.689,0.434,2,1,24,0,-1,1,LH
829,38,9,17,17,4,4,4,45,3,4,5,0.288717391,0.1335,0.1266,0.0975,2,2,2,2,13.281,0.534,0.633,0.585,2,0.75,24,0,-1,1,LH
830,38,9,18,17,5,10,6,32,5,12,11,0.418818182,0.193,0.333384615,0.302583333,2,2,2,3,13.821,1.158,4.334,3.631,2.25,0.75,15,0,-1,1,LH
831,38,10,19,20,3,20,1,87,2,70,0,0.346715909,0.733333333,0.381422535,1.45,2,2,2,2,30.511,2.2,27.081,1.45,2,1,24,0,-1,1,LH
832,38,11,21,18,1,3,5,44,0,2,4,0.336177778,0.701,0.207666667,0.3304,2,2,2,2,15.128,0.701,0.623,1.652,2,1,24,0,-1,1,LH
833,38,11,22,18,2,11,6,29,1,11,10,0.3759,0.317,0.244083333,0.26,2,2,2,2,11.277,0.634,2.929,2.86,2,1,24,0,-1,1,LH
834,38,12,23,10,3,3,5,14,3,2,8,0.390933333,0.2105,0.243,0.122555556,2,2,2,2,5.864,0.842,0.729,1.103,2,1,24,0,-1,1,LH
835,38,12,24,15,4,6,15,23,4,8,17,0.346375,0.2064,0.268333333,0.2945,2,2,2,2,8.313,1.032,2.415,5.301,2,1,24,0,-1,1,LH
836,38,13,25,7,2,8,15,9,2,9,39,0.3018,0.153666667,0.1664,0.294825,2,2,2,2,3.018,0.461,1.664,11.793,2,1,24,0,-1,1,LH
837,38,13,26,16,5,3,18,23,4,2,29,0.371208333,0.3014,0.269333333,0.2722,2,2,2,2,8.909,1.507,0.808,8.166,2,1,24,0,-1,1,LH
838,38,14,27,10,2,2,3,16,1,1,2,0.361588235,0.3175,0.5265,0.231333333,2,2,2,2,6.147,0.635,1.053,0.694,2,1,24,0,-1,1,LH
839,38,14,28,10,10,11,9,12,9,17,9,0.323538462,0.4384,0.368388889,0.2712,2,2,2,2,4.206,4.384,6.631,2.712,2,1,24,0,-1,1,LH
840,38,15,29,17,4,19,7,27,3,39,10,0.25725,0.36875,0.357175,0.316909091,2,2,2,2,7.203,1.475,14.287,3.486,2,0.5,24,0,-1,1,LH
841,38,15,30,10,1,12,2,12,0,21,1,0.280384615,0.043,0.306636364,0.487,5,3,2,2,3.645,0.043,6.746,0.974,3,0.5,12,0,-1,1,LH
842,38,16,31,15,7,2,3,26,6,1,2,0.363111111,0.274428571,0.2795,0.282666667,2,2,2,2,9.804,1.921,0.559,0.848,2,1,24,0,-1,1,LH
843,38,16,32,8,6,4,2,17,8,3,2,0.433944444,0.153444444,0.27625,0.178666667,2,2,2,2,7.811,1.381,1.105,0.536,2,1,24,0,-1,1,LH
844,38,17,33,13,4,3,2,24,4,2,1,0.27928,0.1682,0.191,0.2175,2,2,2,2,6.982,0.841,0.573,0.435,2,1,24,0,-1,1,LH
845,38,17,34,9,3,6,19,9,2,8,48,0.4316,0.211,0.320888889,0.364938776,2,2,2,2,4.316,0.633,2.888,17.882,2,1,24,0,-1,1,LH
846,39,1,1,19,5,2,3,87,6,1,2,0.612556818,0.128285714,0.4575,0.275333333,2,2,2,2,53.905,0.898,0.915,0.826,2,1,24,0,-1,0,LH
847,39,1,2,19,4,4,3,61,5,4,2,0.223064516,0.164333333,0.2004,0.371333333,5,5,5,5,13.83,0.986,1.002,1.114,5,1,60,0,-1,0,LH
848,39,2,3,19,8,6,3,56,7,8,3,0.276824561,0.1695,0.145333333,0.30325,2,2,2,2,15.779,1.356,1.308,1.213,2,1,24,0,-1,0,LH
849,39,2,4,20,12,11,11,46,13,21,10,0.222659574,0.175142857,0.248954545,0.234909091,2,2,2,2,10.465,2.452,5.477,2.584,2,1,24,0,-1,0,LH
850,39,3,5,20,4,17,4,130,4,27,5,0.257610687,0.3184,0.175071429,0.293,2,2,2,2,33.747,1.592,4.902,1.758,2,1,24,0,-1,0,LH
851,39,3,6,19,8,7,12,62,12,7,15,0.256984127,0.194692308,0.1955,0.18825,3,3,3,3,16.19,2.531,1.564,3.012,3,1,36,0,-1,0,LH
852,39,4,7,20,8,17,2,78,14,25,1,0.290177215,0.145733333,0.297730769,0.585,3,3,3,3,22.924,2.186,7.741,1.17,3,1,36,0,-1,0,LH
853,39,4,8,18,9,19,18,32,10,36,83,0.337030303,0.333727273,0.200405405,0.254809524,5,5,5,5,11.122,3.671,7.415,21.404,5,1,60,0,-1,0,LH
854,39,5,9,18,3,5,5,60,2,5,6,0.278688525,0.338,0.1615,0.250285714,3,3,3,3,17,1.014,0.969,1.752,3,0.75,36,0,-1,0,LH
855,39,5,10,20,9,20,17,65,8,68,33,0.240757576,0.198888889,0.270405797,0.261117647,5,5,5,6,15.89,1.79,18.658,8.878,5.25,0.75,36,0,-1,0,LH
856,39,6,11,20,2,10,3,125,2,17,4,0.240420635,0.311,0.153277778,0.1632,5,5,5,5,30.293,0.933,2.759,0.816,5,0.75,60,0,-1,0,LH
857,39,6,12,18,13,5,6,67,19,5,5,0.221617647,0.2978,0.132333333,0.254166667,6,6,6,4,15.07,5.956,0.794,1.525,5.5,0.75,40,0,-1,0,LH
858,39,7,13,20,4,3,6,175,3,2,6,0.3243125,0.308,0.309,0.153285714,5,5,5,5,57.079,1.232,0.927,1.073,5,1,60,0,-1,0,LH
859,39,7,14,20,3,6,3,143,2,8,3,0.238020833,0.646333333,0.159555556,0.32825,3,3,3,3,34.275,1.939,1.436,1.313,3,1,36,0,-1,0,LH
860,39,8,15,20,8,2,4,134,14,1,4,0.290762963,0.289266667,0.61,0.2326,6,6,6,6,39.253,4.339,1.22,1.163,6,1,72,0,-1,1,LH
861,39,8,16,20,6,5,3,66,5,5,2,0.283477612,0.201,0.318666667,0.533666667,3,3,3,3,18.993,1.206,1.912,1.601,3,1,36,0,-1,1,LH
862,39,9,17,16,12,9,6,35,14,23,10,0.224972222,0.198266667,0.213958333,0.525,5,5,5,5,8.099,2.974,5.135,5.775,5,1,60,0,-1,1,LH
863,39,9,18,20,3,1,2,155,2,0,1,0.307525641,0.317333333,1,0.5615,2,2,2,2,47.974,0.952,1,1.123,2,1,24,0,-1,1,LH
864,39,10,19,20,4,4,4,68,3,5,4,0.288246377,0.443,0.293666667,0.3806,4,4,4,6,19.889,1.772,1.762,1.903,4.5,0.75,30,0,-1,1,LH
865,40,1,1,20,6,6,20,177,9,8,138,0.349533708,0.1752,0.320111111,0.380438849,5,5,5,5,62.217,1.752,2.881,52.881,5,1,60,0,-1,0,Lc
866,40,1,2,20,7,11,12,88,7,29,21,0.379741573,0.267625,0.196533333,0.5695,3,3,3,3,33.797,2.141,5.896,12.529,3,1,36,0,-1,0,Lc
867,40,2,3,20,6,4,6,86,9,4,6,0.348609195,0.2379,0.217,0.242428571,3,3,3,3,30.329,2.379,1.085,1.697,3,1,36,0,-1,0,Lc
868,40,2,4,19,7,7,4,85,8,16,3,0.291813953,0.192333333,0.180823529,0.25375,3,3,3,3,25.096,1.731,3.074,1.015,3,1,36,0,-1,0,Lc
869,40,3,5,20,6,5,2,107,9,6,1,0.277361111,0.19,0.155,0.5675,5,5,5,5,29.955,1.9,1.085,1.135,5,1,60,0,-1,0,Lc
870,40,3,6,20,3,8,3,69,4,8,3,0.3672,0.2642,0.204333333,0.2065,3,3,3,3,25.704,1.321,1.839,0.826,3,1,36,0,-1,0,Lc
871,40,4,7,20,4,3,2,100,4,4,1,0.266475248,0.366,0.3758,0.385,2,2,2,2,26.914,1.83,1.879,0.77,2,1,24,0,-1,0,Lc
872,40,4,8,20,5,2,6,189,5,2,6,0.337794737,0.150666667,0.245333333,0.155857143,4,4,4,4,64.181,0.904,0.736,1.091,4,1,48,0,-1,0,Lc
873,40,5,9,20,8,2,16,199,9,1,44,0.38575,0.229,1.121,0.5106,4,4,4,6,77.15,2.29,2.242,22.977,4.5,0.75,30,0,-1,0,Lc
874,40,5,10,20,7,4,4,73,10,10,4,0.360175676,0.610454545,0.442181818,0.3342,2,2,2,2,26.653,6.715,4.864,1.671,2,0.75,24,0,-1,0,Lc
875,40,6,11,13,3,2,3,106,6,1,3,0.320158879,0.140428571,0.529,0.54375,4,4,4,4,34.257,0.983,1.058,2.175,4,1,48,0,-1,0,Lc
876,40,6,12,19,4,4,5,96,4,3,7,0.401113402,0.4612,0.46375,0.216,6,6,6,6,38.908,2.306,1.855,1.728,6,1,72,0,-1,0,Lc
