Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
9,3,6,0,6,18.787999999999986,19,105,1,2,3,33,23.179999999999982,0.061,5.245999999999996,0.9759999999999995,20,1,13,2,120,1,23,3,6,0.5,41,5.75,6,L,0.19316666666666665,0.061,0.2280869565217391,0.32533333333333325
9,4,7,0,4,15.737999999999987,20,78,100,99,102,97,16.652999999999988,1.646999999999999,2.2569999999999983,0.122,20,5,7,1,83,7,9,1,2,1,24,2,6,L,0.20063855421686747,0.23528571428571426,0.25077777777777777,0.122
9,4,8,0,7,30.621999999999975,14,128,19,20,71,41,30.682999999999975,2.3789999999999982,1.0369999999999995,12.68799999999999,15,8,1,15,129,12,1,45,6,0,21,5.25,6,L,0.23785271317829454,0.19824999999999998,1.0369999999999995,0.2819555555555555
9,5,9,0,7,16.28699999999999,17,75,14,23,36,57,16.34799999999999,7.014999999999994,15.615999999999987,1.463999999999999,18,12,16,3,76,26,71,3,6,0,21,5.25,6,L,0.21510526315789472,0.2698076923076923,0.21994366197183096,0.4879999999999999
9,5,10,0,9,52.58199999999996,14,224,67,45,65,5,54.594999999999956,4.208999999999997,0.122,0.9759999999999995,20,10,1,3,235,16,1,4,4,0,19,4.75,6,L,0.2323191489361702,0.2630625,0.122,0.244
10,1,1,0,4,28.120999999999977,20,119,99,98,107,102,29.279999999999976,0.8539999999999996,0.5489999999999999,1.3419999999999992,20,3,2,5,124,4,2,6,2,1,24,2,6,L,0.2361290322580645,0.2135,0.27449999999999997,0.22366666666666665
10,1,2,0,10,27.205999999999978,19,111,85,92,86,87,28.425999999999977,0.122,0.488,1.7689999999999988,20,1,2,9,119,1,2,12,3,1,36,3,6,L,0.2388739495798319,0.122,0.244,0.14741666666666667
10,2,3,0,10,21.166999999999984,16,101,94,87,3,4,22.935999999999982,0.427,5.916999999999995,3.1109999999999975,20,2,15,9,110,3,26,13,3,0,18,4.5,6,L,0.2085090909090909,0.14233333333333334,0.22757692307692307,0.23930769230769228
10,2,4,0,9,16.28699999999999,20,73,71,66,67,72,18.665999999999986,0.061,1.7079999999999989,1.8299999999999987,20,1,7,7,81,1,9,7,4,1,48,4,6,L,0.23044444444444442,0.061,0.18977777777777777,0.2614285714285714
10,3,5,0,8,13.846999999999989,18,57,117,109,119,12,14.395999999999988,0.6709999999999998,0.7319999999999998,5.855999999999995,20,4,3,11,60,4,3,20,2,0.5,18,3,6,L,0.2399333333333333,0.16775,0.244,0.29279999999999995
10,3,6,0,9,48.25099999999996,14,210,68,15,16,61,48.49499999999996,8.661999999999994,0.8539999999999996,0.122,16,16,4,1,212,28,4,1,4,0,20,5,6,L,0.22874999999999998,0.30935714285714283,0.2135,0.122
10,4,7,0,2,32.69599999999998,18,143,56,60,50,7,35.745999999999974,1.8909999999999987,2.3179999999999983,3.476999999999997,20,7,9,12,153,9,13,22,4,0.5,30,4.5,6,L,0.23363398692810455,0.21011111111111108,0.1783076923076923,0.15804545454545454
10,4,8,0,9,23.66799999999998,20,120,67,72,70,17,26.04699999999998,0.244,4.391999999999997,0.305,20,1,7,2,128,1,13,2,4,0.5,30,4.5,6,L,0.20349218749999998,0.244,0.3378461538461538,0.1525
10,5,9,0,5,33.366999999999976,19,158,39,46,37,41,34.342999999999975,1.7079999999999989,0.183,4.879999999999996,20,4,1,11,163,5,1,19,5,1,60,5,6,L,0.21069325153374233,0.34159999999999996,0.183,0.25684210526315787
10,5,10,0,8,33.732999999999976,15,143,1,115,114,6,58.25499999999995,0.183,0.061,2.0129999999999986,20,1,1,8,243,1,1,8,2,0,16,4,6,L,0.23973251028806583,0.183,0.061,0.251625
